Player,MP,Dunks
A.J. Guyton,607,0
Aaron McKie,1471,2
Aaron Williams,1546,62
Adonal Foyle,1485,19
Adrian Griffin,1383,3
Al Harrington,1313,35
Alan Henderson,422,8
Allan Houston,2914,2
Allen Iverson*,2622,9
Alonzo Mourning*,2455,134
Alton Ford,452,10
Alvin Jones,126,3
Alvin Williams,2927,0
Amal McCaskill,153,8
Andre Miller,3023,1
Andrei Kirilenko,2151,101
Andrew DeClercq,633,11
Anfernee Hardaway,2462,16
Ansu Sesay,142,0
Antawn Jamison,3033,29
Anthony Carter,1050,0
Anthony Johnson,366,4
Anthony Mason,3143,3
Anthony Peeler,2060,5
Antoine Walker,3406,28
Antonio Daniels,2175,32
Antonio Davis,2978,78
Antonio Harvey,47,0
Antonio McDyess,236,6
Antonis Fotsis,320,5
Art Long,989,32
Austin Croshere,1286,21
Avery Johnson,2704,0
Baron Davis,3318,30
Ben Wallace*,2921,115
Bimbo Coles,693,0
Bo Outlaw,3856,76
Bob Sura,1780,16
Bobby Jackson,1750,1
Bobby Simmons,343,5
Bonzi Wells,2348,63
Brad Miller,4526,64
Brandon Armstrong,196,1
Brendan Haywood,1266,50
Brent Barry,3040,26
Brent Price,89,0
Brevin Knight,1151,0
Brian Cardinal,43,0
Brian Grant,2256,31
Brian Scalabrine,290,3
Brian Shaw,631,0
Brian Skinner,1107,24
Bruce Bowen,1699,2
Bruno Šundov,88,1
Bryant Stith,665,0
Bryce Drew,774,0
Bryon Russell,1998,5
Cal Bowdler,585,2
Calbert Cheaney,1631,22
Calvin Booth,279,1
Carlos Arroyo,742,0
Carlos Rogers,168,8
Cedric Henderson,70,4
Charles Oakley,1383,0
Charles Smith,1141,31
Charlie Bell,88,0
Charlie Ward,1058,0
Chauncey Billups,2355,3
Cherokee Parks,234,8
Chris Andersen,262,14
Chris Childs,1576,0
Chris Crawford,131,0
Chris Dudley,327,5
Chris Gatling,809,11
Chris Mihm,1659,30
Chris Mills,1237,0
Chris Webber*,2071,77
Chris Whitney,2171,0
Christian Laettner,1441,2
Chucky Atkins,2285,0
Chucky Brown,92,0
Clarence Weatherspoon,1728,25
Clifford Robinson,2855,9
Corey Maggette,1615,44
Corie Blount,1426,11
Corliss Williamson,1701,23
Courtney Alexander,1325,20
Cuttino Mobley,3116,22
Dale Davis,2447,96
Dalibor Bagarić,638,21
Damon Jones,1083,0
Damon Stoudamire,2796,0
Damone Brown,67,0
Dan Langhi,434,2
Dan Majerle,1180,0
Dana Barros,582,0
Daniel Santiago,24,0
Danny Ferry,799,0
Danny Fortson,2216,2
Danny Manning,552,5
Darius Miles,2227,113
Darrell Armstrong,2730,10
Darrick Martin,22,0
Darvin Ham,1208,54
David Robinson*,2303,105
David Wesley,2487,0
DeSagana Diop,109,0
DeShawn Stevenson,1134,15
Dean Garrett,366,10
Dean Oliver,139,0
Dee Brown,65,0
Dell Curry,886,0
DerMarr Johnson,1727,29
Derek Anderson,1860,27
Derek Fisher,1974,0
Derrick Coleman,2080,39
Derrick Dial,598,0
Derrick McKey,784,0
Desmond Mason,2420,45
Devean George,1759,31
Dickey Simpkins,3,0
Dikembe Mutombo*,2907,40
Dion Glover,1156,18
Dirk Nowitzki,2891,45
Don Reid,714,26
Donnell Harvey,1682,66
Donny Marshall,118,1
Donyell Marshall,1750,81
Doug Christie,2798,60
Doug Overton,130,0
Earl Boykins,761,0
Earl Watson,964,5
Eddie Gill,384,0
Eddie Griffin,1896,23
Eddie House,1230,0
Eddie Jones,3156,29
Eddie Robinson,653,19
Eddy Curry,1150,71
Eduardo Nájera,1357,32
Elden Campbell,2156,54
Eldridge Recasner,66,0
Elliot Perry,48,0
Elton Brand,3020,66
Emanual Davis,774,1
Eric Montross,655,7
Eric Piatkowski,1718,1
Eric Snow,2225,0
Eric Williams,1747,3
Erick Barkley,228,0
Erick Dampier,1740,43
Erick Strickland,1643,0
Ernest Brown,21,0
Ervin Johnson,1660,6
Etan Thomas,618,22
Evan Eschmeyer,299,7
Felipe López,581,7
Felton Spencer,248,0
Fred Hoiberg,1408,6
Gary Payton*,3301,0
Gary Trent,1140,17
George Lynch,893,2
George McCloud,1830,6
Gerald Wallace,430,27
Gilbert Arenas,1155,11
Glen Rice,606,1
Glenn Robinson,2346,20
Grant Hill*,512,4
Grant Long,1868,22
Greg Anthony,3028,0
Greg Buckner,885,0
Greg Foster,24,0
Greg Ostertag,1107,20
Hakeem Olajuwon*,1378,7
Hanno Möttölä,1371,6
Harold Jamison,176,9
Hedo Türkoğlu,1970,20
Horace Grant,2210,8
Howard Eisley,609,0
Hubert Davis,1231,0
Ira Bowman,29,0
Ira Newble,1273,29
Isaac Austin,307,0
Isaac Fontaine,75,0
Isaiah Rider,173,3
Jabari Smith,362,8
Jacque Vaughn,1856,0
Jahidi White,1346,86
Jake Tsakalidis,1582,57
Jake Voskuhl,900,31
Jalen Rose,6306,36
Jamaal Magloire,1549,90
Jamaal Tinsley,2442,0
Jamal Crawford,481,0
Jamal Mashburn,1601,4
James Posey,2238,56
Jamison Brewer,43,0
Jaren Jackson,144,0
Jarron Collins,1440,14
Jason Caffey,283,6
Jason Collier,365,0
Jason Collins,1407,8
Jason Hart,92,0
Jason Kidd*,3056,2
Jason Richardson,2629,81
Jason Terry,2967,17
Jason Williams,2236,1
Jeff Foster,1786,36
Jeff McInnis,3030,1
Jeff Trepagnier,77,3
Jelani McCoy,104,5
Jermaine Jackson,280,4
Jermaine O'Neal,2707,121
Jerome James,949,49
Jerome Williams,1641,35
Jerry Stackhouse,2685,64
Jeryl Sasser,36,0
Jim Jackson,1825,8
Joe Crispin,312,0
Joe Johnson,3832,28
Joe Smith,1922,44
Joel Przybilla,1128,37
John Amaechi,586,4
John Crotty,802,0
John Starks,929,0
John Stockton*,2566,0
John Wallace,490,16
Johnny Newman,724,3
Jon Barry,1985,1
Jonathan Bender,1647,47
Joseph Forte,39,0
Jud Buechler,1368,0
Jumaine Jones,2142,44
Juwan Howard,5270,118
Jérôme Moïso,76,3
Karl Malone*,3040,28
Kedrick Brown,245,6
Keith Van Horn,2465,56
Kelvin Cato,1917,129
Kendall Gill,1410,3
Kenny Anderson,2430,0
Kenny Satterfield,560,2
Kenny Thomas,2484,41
Kenyon Martin,2504,155
Keon Clark,2185,63
Kerry Kittles,2601,62
Kevin Garnett*,3175,87
Kevin Ollie,3446,0
Kevin Willis,865,18
Keyon Dooling,155,1
Kirk Haston,77,0
Kobe Bryant*,3063,88
Kurt Thomas,2771,12
Kwame Brown,817,26
LaPhonso Ellis,1684,12
Lamar Odom,999,7
Lamond Murray,2312,35
Larry Hughes,2049,29
Larry Robinson,10,0
Latrell Sprewell,3326,25
Lavor Postell,179,1
Lawrence Funderburke,722,24
Lee Nailon,1912,29
Leon Smith,100,6
Lindsey Hunter,1616,6
Loren Woods,516,7
Lorenzen Wright,1251,36
Lucious Harris,1553,2
Malik Allen,161,2
Malik Rose,1725,57
Mamadou N'Diaye,46,0
Marc Jackson,990,10
Marcus Camby,1007,39
Marcus Fizer,1963,34
Mark Blount,415,10
Mark Bryant,206,3
Mark Jackson,2367,0
Mark Madsen,650,15
Mark Pope,426,8
Mark Strickland,654,29
Mateen Cleaves,153,0
Matt Bullard,350,0
Matt Geiger,36,0
Matt Harpring,2541,8
Maurice Evans,45,3
Mengke Bateer,408,0
Metta World Peace,3284,40
Michael Bradley,118,2
Michael Curry,1912,22
Michael Dickerson,124,2
Michael Doleac,705,3
Michael Finley,2754,56
Michael Jordan*,2093,20
Michael Olowokandi,2568,49
Michael Redd,1417,8
Michael Ruffin,169,1
Michael Stewart,93,2
Mike Bibby,2659,4
Mike James,119,0
Mike Miller,2123,38
Mike Penberthy,12,0
Mikki Moore,217,11
Milt Palacio,1580,4
Mitch Richmond*,709,2
Mitchell Butler,90,1
Monty Williams,1284,14
Moochie Norris,2249,0
Mookie Blaylock,599,0
Morris Peterson,1988,14
Nazr Mohammed,2168,58
Nick Anderson,219,0
Nick Van Exel,4992,0
